Scraping Glottolog extinction status...
CSV File: languoid.csv
Cache File: extinction_cache.json
Base URL: https://glottolog.org/resource/languoid/id

Loaded cache with 0 existing entries
Total unique languoid IDs: 27034
Need to fetch: 27034

Starting scrape...
Note: This will take ~225.3 minutes with rate limiting

  [13700/27034] Extinct: 643, Active: 3843, Unknown: 9214
  [13800/27034] Extinct: 650, Active: 3870, Unknown: 9280
  [13900/27034] Extinct: 655, Active: 3895, Unknown: 9350
  [14000/27034] Extinct: 668, Active: 3924, Unknown: 9408
  [14100/27034] Extinct: 672, Active: 3950, Unknown: 9478
  [14200/27034] Extinct: 675, Active: 3983, Unknown: 9542
  [14300/27034] Extinct: 679, Active: 4014, Unknown: 9607
  [14400/27034] Extinct: 689, Active: 4036, Unknown: 9675
  [14500/27034] Extinct: 695, Active: 4057, Unknown: 9748
  [14600/27034] Extinct: 701, Active: 4086, Unknown: 9813
  [14700/27034] Extinct: 707, Active: 4112, Unknown: 9881
  [14800/27034] Extinct: 711, Active: 4145, Unknown: 9944
  [14900/27034] Extinct: 715, Active: 4180, Unknown: 10005
  [15000/27034] Extinct: 719, Active: 4211, Unknown: 10070
  [15100/27034] Extinct: 722, Active: 4245, Unknown: 10133
  [15200/27034] Extinct: 726, Active: 4271, Unknown: 10203
  [15300/27034] Extinct: 729, Active: 4300, Unknown: 10271
  [15400/27034] Extinct: 732, Active: 4324, Unknown: 10344
  [15500/27034] Extinct: 736, Active: 4354, Unknown: 10410
  [15600/27034] Extinct: 745, Active: 4394, Unknown: 10461
  [15700/27034] Extinct: 747, Active: 4428, Unknown: 10525
  [15800/27034] Extinct: 755, Active: 4456, Unknown: 10589
  [15900/27034] Extinct: 766, Active: 4488, Unknown: 10646
  [16000/27034] Extinct: 768, Active: 4516, Unknown: 10716
  [16100/27034] Extinct: 776, Active: 4543, Unknown: 10781
  [16200/27034] Extinct: 778, Active: 4570, Unknown: 10852
  [16300/27034] Extinct: 782, Active: 4598, Unknown: 10920
  [16400/27034] Extinct: 786, Active: 4616, Unknown: 10998
  [16500/27034] Extinct: 788, Active: 4643, Unknown: 11069
  [16600/27034] Extinct: 789, Active: 4664, Unknown: 11147
  [16700/27034] Extinct: 796, Active: 4696, Unknown: 11208
  [16800/27034] Extinct: 796, Active: 4697, Unknown: 11307
  [16900/27034] Extinct: 796, Active: 4703, Unknown: 11401
  [17000/27034] Extinct: 798, Active: 4713, Unknown: 11489
  [17100/27034] Extinct: 800, Active: 4727, Unknown: 11573
  [17200/27034] Extinct: 800, Active: 4736, Unknown: 11664
  [17300/27034] Extinct: 800, Active: 4739, Unknown: 11761
  [17400/27034] Extinct: 802, Active: 4750, Unknown: 11848
  [17500/27034] Extinct: 803, Active: 4757, Unknown: 11940
  [17600/27034] Extinct: 807, Active: 4776, Unknown: 12017
  [17700/27034] Extinct: 809, Active: 4804, Unknown: 12087
  [17800/27034] Extinct: 812, Active: 4833, Unknown: 12155
  [17900/27034] Extinct: 816, Active: 4858, Unknown: 12226
  [18000/27034] Extinct: 842, Active: 4871, Unknown: 12287
  [18100/27034] Extinct: 863, Active: 4891, Unknown: 12346
  [18200/27034] Extinct: 866, Active: 4925, Unknown: 12409
  [18300/27034] Extinct: 873, Active: 4939, Unknown: 12488
  [18400/27034] Extinct: 880, Active: 4967, Unknown: 12553
  [18500/27034] Extinct: 892, Active: 4989, Unknown: 12619
  [18600/27034] Extinct: 897, Active: 5019, Unknown: 12684
  [18700/27034] Extinct: 902, Active: 5052, Unknown: 12746
  [18800/27034] Extinct: 914, Active: 5080, Unknown: 12806
  [18900/27034] Extinct: 919, Active: 5099, Unknown: 12882
  [19000/27034] Extinct: 929, Active: 5135, Unknown: 12936
  [19100/27034] Extinct: 942, Active: 5163, Unknown: 12995
  [19200/27034] Extinct: 948, Active: 5190, Unknown: 13062
  [19300/27034] Extinct: 954, Active: 5208, Unknown: 13138
  [19400/27034] Extinct: 962, Active: 5240, Unknown: 13198
  [19500/27034] Extinct: 966, Active: 5263, Unknown: 13271
  [19600/27034] Extinct: 974, Active: 5286, Unknown: 13340
  [19700/27034] Extinct: 976, Active: 5314, Unknown: 13410
  [19800/27034] Extinct: 981, Active: 5345, Unknown: 13474
  [19900/27034] Extinct: 983, Active: 5369, Unknown: 13548
  [20000/27034] Extinct: 986, Active: 5400, Unknown: 13614
  saba1265: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saba1267: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saba1268: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saba1272: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saba1276: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saba1279: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saba1280: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saba1281: Timeout
  sadr1247: HTTPSConnectionPool(host='glottolog.org', port=443): Read ti
  sadr1248: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sadr1249: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sadr1250: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sadu1234: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saek1240: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saep1240: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  safa1243: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  safa1244: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  safa1245: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  safa1246: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  safa1247: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  safe1240: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  safw1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saga1256: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saga1260: Timeout
  saga1268: Timeout
  sagz1238: HTTPSConnectionPool(host='glottolog.org', port=443): Read ti
  [20100/27034] Extinct: 990, Active: 5416, Unknown: 13694
  saka1303: Timeout
  saka1304: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sake1246: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sake1247: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sake1249: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sakh1245: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sakh1246: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sakh1247: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  saki1247: Timeout
  sako1234: Timeout
  sala1264: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1265: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1266: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1268: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1269: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1270: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1271: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1272: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1273: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1277: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1281: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1282: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1283: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1284: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sala1285: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  salc1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  salc1239: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  salc1240: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sale1243: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sale1244: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sali1253: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sali1255: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sali1295: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sali1296: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sali1297: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sali1298: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sali1302: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  sall1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  salm1240: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  salo1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  salt1242: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  salt1245: HTTPSConnectionPo
  kodi1246: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kodi1247: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  [10800/27034] Extinct: 519, Active: 2920, Unknown: 7361
  kodi1248: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kodi1249: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kodi1251: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kodi1252: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kodo1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kodr1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kodu1239: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koen1239: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kofa1236: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kofe1239: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koff1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koff1242: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kofy1242: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kofy1243: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kofy1244: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kogo1235: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kogu1234: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koha1244: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koha1245: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koha1246: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohg1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohi1247: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohi1248: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohi1249: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohi1250: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohi1251: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohn1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koho1243: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koho1244: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koho1245: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohu1243: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  kohu1244: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koia1260: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koia1261: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koia1262: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  koii1238: HTTPSConnectionPool(host='glottolog.org', port=443): Max ret
  [10900/27034] Extinct: 522, Active: 2940, Unknown: 7438
  [11000/27034] Extinct: 523, Active: 2970, Unknown: 7507
  [11100/27034] Extinct: 524, Active: 3007, Unknown: 7569
  [11200/27034] Extinct: 526, Active: 3037, Unknown: 7637
  [11300/27034] Extinct: 529, Active: 3069, Unknown: 7702
  [11400/27034] Extinct: 536, Active: 3102, Unknown: 7762
  [11500/27034] Extinct: 541, Active: 3135, Unknown: 7824
  [11600/27034] Extinct: 548, Active: 3168, Unknown: 7884
  [11700/27034] Extinct: 552, Active: 3201, Unknown: 7947
  [11800/27034] Extinct: 555, Active: 3232, Unknown: 8013
  [11900/27034] Extinct: 556, Active: 3265, Unknown: 8079
  [12000/27034] Extinct: 556, Active: 3299, Unknown: 8145
  [12100/27034] Extinct: 560, Active: 3334, Unknown: 8206
  [12200/27034] Extinct: 567, Active: 3367, Unknown: 8266
  [12300/27034] Extinct: 569, Active: 3396, Unknown: 8335
  [12400/27034] Extinct: 571, Active: 3429, Unknown: 8400
  [12500/27034] Extinct: 573, Active: 3456, Unknown: 8471
  [12600/27034] Extinct: 574, Active: 3477, Unknown: 8549
  [12700/27034] Extinct: 583, Active: 3497, Unknown: 8620
